form,doc,before,keyword,after,anchor
genti,specimen,che città vide molte e delle,genti,l indol conobbe che sovr'esso il,specimen:0.1.0.0.1.3
l,specimen,città vide molte e delle genti,l,indol conobbe che sovr'esso il mare,specimen:0.1.0.0.1.4
indol,specimen,vide molte e delle genti l,indol,conobbe che sovr'esso il mare molti,specimen:0.1.0.0.1.4.0.0
conobbe,specimen,molte e delle genti l indol,conobbe,che sovr'esso il mare molti dentro,specimen:0.1.0.0.1.4
sovr'esso,specimen,delle genti l indol conobbe che,sovr'esso,il mare molti dentro del cor,specimen:0.1.0.0.1.4
il,specimen,genti l indol conobbe che sovr'esso,il,mare molti dentro del cor sofferse,specimen:0.1.0.0.1.4
il,specimen,cercava a sé la vita e,il,ritorno a compagni Una pagina d'autore,specimen:0.1.0.0.1.7
il,specimen,sera scendeva sul paese e lentamente,il,vento si placava Nel testo in,specimen:0.1.0.0.2
il,specimen,lettura incerta una parola integrata e,il,nome di Odisseo che punta al,specimen:0.1.0.0.3
mare,specimen,l indol conobbe che sovr'esso il,mare,molti dentro del cor sofferse affanni,specimen:0.1.0.0.1.4
molti,specimen,indol conobbe che sovr'esso il mare,molti,dentro del cor sofferse affanni mentre,specimen:0.1.0.0.1.5
dentro,specimen,conobbe che sovr'esso il mare molti,dentro,del cor sofferse affanni mentre a,specimen:0.1.0.0.1.5
del,specimen,che sovr'esso il mare molti dentro,del,cor sofferse affanni mentre a redimer,specimen:0.1.0.0.1.5
cor,specimen,sovr'esso il mare molti dentro del,cor,sofferse affanni mentre a redimer cercava,specimen:0.1.0.0.1.5
sofferse,specimen,il mare molti dentro del cor,sofferse,affanni mentre a redimer cercava a,specimen:0.1.0.0.1.5
affanni,specimen,mare molti dentro del cor sofferse,affanni,mentre a redimer cercava a sé,specimen:0.1.0.0.1.5
mentre,specimen,molti dentro del cor sofferse affanni,mentre,a redimer cercava a sé la,specimen:0.1.0.0.1.6
redimer,specimen,del cor sofferse affanni mentre a,redimer,cercava a sé la vita e,specimen:0.1.0.0.1.6.1
cercava,specimen,cor sofferse affanni mentre a redimer,cercava,a sé la vita e il,specimen:0.1.0.0.1.6
sé,specimen,affanni mentre a redimer cercava a,sé,la vita e il ritorno a,specimen:0.1.0.0.1.6
la,specimen,mentre a redimer cercava a sé,la,vita e il ritorno a compagni,specimen:0.1.0.0.1.6
la,specimen,compagni Una pagina d'autore per mostrare,la,stratigrafia la sera scendeva sul paese,specimen:0.1.0.0.2
la,specimen,pagina d'autore per mostrare la stratigrafia,la,sera scendeva sul paese e lentamente,specimen:0.1.0.0.2
la,specimen,in prosa lo specimen mostra anche,la,signora abbreviazione col suo scioglimento un,specimen:0.1.0.0.3
vita,specimen,a redimer cercava a sé la,vita,e il ritorno a compagni Una,specimen:0.1.0.0.1.6
ritorno,specimen,a sé la vita e il,ritorno,a compagni Una pagina d'autore per,specimen:0.1.0.0.1.7
compagni,specimen,la vita e il ritorno a,compagni,Una pagina d'autore per mostrare la,specimen:0.1.0.0.1.7
una,specimen,vita e il ritorno a compagni,Una,pagina d'autore per mostrare la stratigrafia,specimen:0.1.0.0.2
una,specimen,scioglimento un passo di lettura incerta,una,parola integrata e il nome di,specimen:0.1.0.0.3
pagina,specimen,e il ritorno a compagni Una,pagina,d'autore per mostrare la stratigrafia la,specimen:0.1.0.0.2
d'autore,specimen,il ritorno a compagni Una pagina,d'autore,per mostrare la stratigrafia la sera,specimen:0.1.0.0.2
per,specimen,ritorno a compagni Una pagina d'autore,per,mostrare la stratigrafia la sera scendeva,specimen:0.1.0.0.2
mostrare,specimen,a compagni Una pagina d'autore per,mostrare,la stratigrafia la sera scendeva sul,specimen:0.1.0.0.2
stratigrafia,specimen,Una pagina d'autore per mostrare la,stratigrafia,la sera scendeva sul paese e,specimen:0.1.0.0.2
sera,specimen,d'autore per mostrare la stratigrafia la,sera,scendeva sul paese e lentamente il,specimen:0.1.0.0.2
scendeva,specimen,per mostrare la stratigrafia la sera,scendeva,sul paese e lentamente il vento,specimen:0.1.0.0.2.0.1
sul,specimen,mostrare la stratigrafia la sera scendeva,sul,paese e lentamente il vento si,specimen:0.1.0.0.2
paese,specimen,la stratigrafia la sera scendeva sul,paese,e lentamente il vento si placava,specimen:0.1.0.0.2
lentamente,specimen,la sera scendeva sul paese e,lentamente,il vento si placava Nel testo,specimen:0.1.0.0.2.1
vento,specimen,scendeva sul paese e lentamente il,vento,si placava Nel testo in prosa,specimen:0.1.0.0.2
si,specimen,sul paese e lentamente il vento,si,placava Nel testo in prosa lo,specimen:0.1.0.0.2
placava,specimen,paese e lentamente il vento si,placava,Nel testo in prosa lo specimen,specimen:0.1.0.0.2
nel,specimen,e lentamente il vento si placava,Nel,testo in prosa lo specimen mostra,specimen:0.1.0.0.3
testo,specimen,lentamente il vento si placava Nel,testo,in prosa lo specimen mostra anche,specimen:0.1.0.0.3
in,specimen,il vento si placava Nel testo,in,prosa lo specimen mostra anche la,specimen:0.1.0.0.3
prosa,specimen,vento si placava Nel testo in,prosa,lo specimen mostra anche la signora,specimen:0.1.0.0.3
lo,specimen,si placava Nel testo in prosa,lo,specimen mostra anche la signora abbreviazione,specimen:0.1.0.0.3
specimen,specimen,placava Nel testo in prosa lo,specimen,mostra anche la signora abbreviazione col,specimen:0.1.0.0.3
mostra,specimen,Nel testo in prosa lo specimen,mostra,anche la signora abbreviazione col suo,specimen:0.1.0.0.3
anche,specimen,testo in prosa lo specimen mostra,anche,la signora abbreviazione col suo scioglimento,specimen:0.1.0.0.3
signora,specimen,prosa lo specimen mostra anche la,signora,abbreviazione col suo scioglimento un passo,specimen:0.1.0.0.3.0.1
abbreviazione,specimen,lo specimen mostra anche la signora,abbreviazione,col suo scioglimento un passo di,specimen:0.1.0.0.3
col,specimen,specimen mostra anche la signora abbreviazione,col,suo scioglimento un passo di lettura,specimen:0.1.0.0.3
suo,specimen,mostra anche la signora abbreviazione col,suo,scioglimento un passo di lettura incerta,specimen:0.1.0.0.3
scioglimento,specimen,anche la signora abbreviazione col suo,scioglimento,un passo di lettura incerta una,specimen:0.1.0.0.3
un,specimen,la signora abbreviazione col suo scioglimento,un,passo di lettura incerta una parola,specimen:0.1.0.0.3
passo,specimen,signora abbreviazione col suo scioglimento un,passo,di lettura incerta una parola integrata,specimen:0.1.0.0.3
lettura,specimen,col suo scioglimento un passo di,lettura,incerta una parola integrata e il,specimen:0.1.0.0.3.1
incerta,specimen,suo scioglimento un passo di lettura,incerta,una parola integrata e il nome,specimen:0.1.0.0.3.1
parola,specimen,un passo di lettura incerta una,parola,integrata e il nome di Odisseo,specimen:0.1.0.0.3
integrata,specimen,passo di lettura incerta una parola,integrata,e il nome di Odisseo che,specimen:0.1.0.0.3.2
nome,specimen,incerta una parola integrata e il,nome,di Odisseo che punta al registro,specimen:0.1.0.0.3
odisseo,specimen,parola integrata e il nome di,Odisseo,che punta al registro come Itaca,specimen:0.1.0.0.3.3
punta,specimen,e il nome di Odisseo che,punta,al registro come Itaca alla mappa,specimen:0.1.0.0.3
al,specimen,il nome di Odisseo che punta,al,registro come Itaca alla mappa,specimen:0.1.0.0.3
registro,specimen,nome di Odisseo che punta al,registro,come Itaca alla mappa,specimen:0.1.0.0.3
come,specimen,di Odisseo che punta al registro,come,Itaca alla mappa,specimen:0.1.0.0.3
itaca,specimen,Odisseo che punta al registro come,Itaca,alla mappa,specimen:0.1.0.0.3.4
alla,specimen,che punta al registro come Itaca,alla,mappa,specimen:0.1.0.0.3
mappa,specimen,punta al registro come Itaca alla,mappa,,specimen:0.1.0.0.3
