position,doc,lang,form,lemma,anchor
54,specimen,it,compagni,,specimen:0.1.0.0.1.7
55,specimen,it,Una,,specimen:0.1.0.0.2
56,specimen,it,pagina,,specimen:0.1.0.0.2
57,specimen,it,d'autore,,specimen:0.1.0.0.2
58,specimen,it,per,,specimen:0.1.0.0.2
59,specimen,it,mostrare,,specimen:0.1.0.0.2
60,specimen,it,la,,specimen:0.1.0.0.2
61,specimen,it,stratigrafia,,specimen:0.1.0.0.2
62,specimen,it,la,,specimen:0.1.0.0.2
63,specimen,it,sera,,specimen:0.1.0.0.2
64,specimen,it,scendeva,,specimen:0.1.0.0.2.0.1
65,specimen,it,sul,,specimen:0.1.0.0.2
66,specimen,it,paese,,specimen:0.1.0.0.2
67,specimen,it,e,,specimen:0.1.0.0.2
68,specimen,it,lentamente,,specimen:0.1.0.0.2.1
69,specimen,it,il,,specimen:0.1.0.0.2
70,specimen,it,vento,,specimen:0.1.0.0.2
71,specimen,it,si,,specimen:0.1.0.0.2
72,specimen,it,placava,,specimen:0.1.0.0.2
73,specimen,it,Nel,,specimen:0.1.0.0.3
74,specimen,it,testo,,specimen:0.1.0.0.3
75,specimen,it,in,,specimen:0.1.0.0.3
76,specimen,it,prosa,,specimen:0.1.0.0.3
77,specimen,it,lo,,specimen:0.1.0.0.3
78,specimen,it,specimen,,specimen:0.1.0.0.3
79,specimen,it,mostra,,specimen:0.1.0.0.3
80,specimen,it,anche,,specimen:0.1.0.0.3
81,specimen,it,la,,specimen:0.1.0.0.3
82,specimen,it,signora,,specimen:0.1.0.0.3.0.1
83,specimen,it,abbreviazione,,specimen:0.1.0.0.3
84,specimen,it,col,,specimen:0.1.0.0.3
85,specimen,it,suo,,specimen:0.1.0.0.3
86,specimen,it,scioglimento,,specimen:0.1.0.0.3
87,specimen,it,un,,specimen:0.1.0.0.3
88,specimen,it,passo,,specimen:0.1.0.0.3
89,specimen,it,di,,specimen:0.1.0.0.3.1
90,specimen,it,lettura,,specimen:0.1.0.0.3.1
91,specimen,it,incerta,,specimen:0.1.0.0.3.1
92,specimen,it,una,,specimen:0.1.0.0.3
93,specimen,it,parola,,specimen:0.1.0.0.3
94,specimen,it,integrata,,specimen:0.1.0.0.3.2
95,specimen,it,e,,specimen:0.1.0.0.3
96,specimen,it,il,,specimen:0.1.0.0.3
97,specimen,it,nome,,specimen:0.1.0.0.3
98,specimen,it,di,,specimen:0.1.0.0.3
99,specimen,it,Odisseo,,specimen:0.1.0.0.3.3
100,specimen,it,che,,specimen:0.1.0.0.3
101,specimen,it,punta,,specimen:0.1.0.0.3
102,specimen,it,al,,specimen:0.1.0.0.3
103,specimen,it,registro,,specimen:0.1.0.0.3
104,specimen,it,come,,specimen:0.1.0.0.3
105,specimen,it,Itaca,,specimen:0.1.0.0.3.4
106,specimen,it,alla,,specimen:0.1.0.0.3
107,specimen,it,mappa,,specimen:0.1.0.0.3
