form,doc,before,keyword,after,anchor
ab,casanatensis,oratio ex duob;bus corruptis composita est,ab,ore et ratione idcirco n¯non potest,w925
ab,casanatensis,oratio hoc qd¯uod sine ratione procedit,ab,ore oratio est cu2um rationabiliter aliquid,w953
ab,casanatensis,þper uerbu2um actus þpersonæ ostenditur et,ab,his ceteræ partes origine2em trahunt unde,w1098
ab,casanatensis,a uerbo quod caret casu et,ab,aduerbio et a coniunctione et appositione,w3282
ab,casanatensis,eo quod ali¢quid boni uel mali,ab,eis estimabant accipere ï nomen dictu2um,w3777
ab,casanatensis,nominu2um aut primitiua est quæ n¯non,ab,alio nascitur ut iulus mons aut,w4182
ab,casanatensis,ut iulus mons aut deriuatiua que,ab,alio nascitur ut a iulo iulius,w4209
ab,casanatensis,ŋpropria nomina pluraliter declinantur n¯non est,ab,unius nomine ŋprocreatus numerus pluralis sed,w4635
ab,casanatensis,uocali p¯prenomen incipit ut aulus ul¯uel,ab,"una consonante ut pupliusI think that ""Puplius"" is the etymological spelling of the name that the scribe meant to write, so I am not correcting the ""Puplius"" spelling to classical ""Publius"" here or elsewhere in the text. ï tum",w5019
ab,casanatensis,differentie causa ¢quia alia p¯prenomina incipiunt,ab,eisdem c¯consonantibus ï e contra marcus,w5142
ab,casanatensis,in eo error fit ï prænomina,ab,eodem tempore sumpserunt initiu2um quo romani,w5185
ab,casanatensis,ï agnomen dicit¯tur quasi accidens nomen,ab,aliquo euentu ï agnomen aut ab,w5526
ab,casanatensis,ab aliquo euentu ï agnomen aut,ab,animo fit ut magnanimus anchisades dictus,w5541
ab,casanatensis,ul¯uel contra ut cicero ¢qui primus,ab,habitu faciei dictus ÷est hoc habuit,w6258
ab,casanatensis,co2ommunia sumitur hæc adiectiua species uel,ab,animi qualitate ul¯uel quantitate ut prudens,w7548
ab,casanatensis,uel quantitate ut albus longus ul¯uel,ab,extrinsecus accidentiu2um ut diues felix ad,w7602
ab,casanatensis,sit ut grecus a grecis hispanus,ab,hispanis patriæ est quod et patriu2um,w8165
ab,casanatensis,qua hortus sit patria ut italicus,ab,italia samnitis a samnio interrogatiua species,w8220
ab,casanatensis,et aduerbia ex omni numero inueniunt¯tur,ab,uno et duo inæqualiter semel bis,w10410
ab,casanatensis,¢quia n¯non trahunt origine2em suæ generationis,ab,eis de quib;bus nominati st¯sunt sed,w12459
ab,casanatensis,n¯non euripi filius ul¯uel nepos sed,ab,euripo sic nominatus est sunt nomina,w12525
ab,casanatensis,matre ut maiades mercurius filius maiæ,ab,auis maternis atlantiades mercurius id ÷est,w12804
ab,casanatensis,regib;bus thesidæ a theseo rege eneade,ab,enea rege hoc nomen et in,w12855
ab,casanatensis,"anchisiades eneasThere is a macron over ""ea"" (""enEAs""), whose meaning I do not understand. filius anchisæThere is a macron over ""is"" (""anchISæ""), whose meaning I do not understand. si au¯autem",ab,"auis ul¯uel atauisThere is a macron sign over the initial ""a"" (ātauis). If it marked the long quantity of the vowel, it would be inappropriate, as both ""a""s in the word are short (""ătăvus""). The same mark is found in the only other instance of word ""atauis"", encoded with id w12735. terminantur aut in",w13008
ab,casanatensis,patronymica in des terminantia si uenerint,ab,eisde2em grecis quoru2um nominatiuus terminatur as,w13305
ab,casanatensis,in i ŋproductu2um et fecit quasi,ab,"æneus ænidesThere is a ^ sign over the ""i"" (""ænîdes""), probably marking the long quantity of the letter. ł illa patronymica in",w13443
ab,casanatensis,sed contra regula2am anchisiades facit quasi,ab,anchisios nominatiuo ea quoq;que patronymica quæ,w13593
ab,casanatensis,acrisione ex quo possessiuo acrisioneis colonis,ab,"acrisioneaKeil (Priscian, Ars grammatica, K 2.68.11, the direct source of this passage) chooses the reading ""ab Acrisione"", but in the apparatus criticus he mentions the reading ""acrisionea"" from codices H (""cod. bibl. gymn. Halberstadiensis, Lutherius Krehlii""), and r (""cod. bibl. imp. Paris. 7496"", second hand). id est danaaKeil (Priscian, Ars grammatica, K 2.68.11, the direct source of this passage) chooses the reading ""Danae"", but in the apparatus criticus he mentions the reading ""danaa"" from codices R (""cod. bibl. imp. Paris. 7496"") and K (""cod. bibl. Caroliruhensis 223""), while codices D (""cod. bibl. publ. Bernensis, olim Bongarsianus"") and H (""cod. bibl. gymn. Halberstadiensis, Lutherius Krehlii"") have a similar reading. inueniuntur etia2am",w14307
ab,casanatensis,non solum ex ŋpropriis sed etia2am,ab,appellatiuis deriuatur et ab omnib;bus generibus,w14745
ab,casanatensis,sed etia2am ab appellatiuis deriuatur et,ab,omnib;bus generibus nascitur et non solu2um,w14757
ab,casanatensis,a uerbis ut opto optatus uel,ab,aduerbiis ut extra extraneus et uel,w14862
ab,casanatensis,significationis nomina in his inueniuntur alia,ab,officiis ut tabellarius mercennarius alia a,w16671
ab,casanatensis,quæ tamen hab¯bent possessiua2am significatione2em alia,ab,aliis reb;bus in quib;bus st¯sunt ut,w16722
ab,casanatensis,"faginusThere is a breve (˘) mark over the ""i"" to mark its short quantity. et in his quæ deriuantur",ab,"aduerbiis temporalibus ut cras crastinusThere is a breve (˘) mark over the ""i"" to mark its short quantity. horno",w17064
ab,casanatensis,roma romanus alia a uerbis ut,ab,egeo egenus alia ab aduerbiis ut,w17610
ab,casanatensis,uerbis ut ab egeo egenus alia,ab,aduerbiis ut infra infernus in a,w17622
ab,casanatensis,"ante nus ut mare marinusThere is a macron sign over the ""i"" to mark the vowel's long quantity. et",ab,his quæ pares habent syllabas in,w18348
ab,casanatensis,"us antecedente consonante ul¯uel i·umThough there is a middle dot between ""i"" and ""um"", the morpheme that the author meant was ""ium"" as a whole (compare the source, Priscian Ars grammatica, K 2.79.2: ""et in ium propria""). deriuata",ab,eis i longu2um habent ante nus,w18441
ab,casanatensis,mancinus regiu2um reginus carus carinus excipiuntur,ab,humo humanus a mundo mundanus et,w18501
ab,casanatensis,nec mutina a muto nec ariminu2um,ab,arimu2um deriuantur et ¢quia primitiua st¯sunt,w19068
ab,casanatensis,"mutis animalibus deriuata ut passer passerinusThere is a macron sign over the ""i"" to mark the vowel's long quantity.",ab,aduerbiis in ra desinentibus er hab¯abent,w19206
ab,casanatensis,nus infra infernus extra externus etia2am,ab,aliis aduerbiis inueniuntur r ante nus,w19248
ab,casanatensis,corylus colurnus tacitus taciturnus mensis mensurnus,ab,"hieme ul¯uel imbre hibernus in i·aThough there is a middle dot between ""i"" and ""a"", the morpheme that the author meant was ""ia"" as a whole (compare the source, Priscian Ars grammatica, K 2.81.15: ""in 'ia' desinentia n antecedente"", and compare the following examples).",w19404
ab,casanatensis,"alia2am qua2am libet consonante2em habuerint primitiua deriuataIn this case, exceptionally, a larger initial does not mark the beginning of a new complex sentence or paragraph.",ab,eis i longu2um hab¯abent ante nus,w19548
ab,casanatensis,g ante n hab¯abet anagninus facit,ab,urbiu2um nominib;bus deriuata in tes desinentia,w19602
ab,casanatensis,uerbis ut detero deteris deterior ł,ab,aduerbiis siue p¯prepositionib;bus ut extra exterior,w20664
ab,casanatensis,"nominum ł accidentia st¯sunt quæ traunt2turThe scribe omitted the ""h"". The abbreviation mark over the final grapheme ""t"" is unclear, as it was later covered by the metamark in black ink pointing to the footnote.",ab,animo a corpore extrinsecus a a,w20760
ab,casanatensis,potis accipere qua2am uis alterius significationis sit,ab,aduerbiis siue p¯prepositionib;bus extra exterior et,w21297
ab,casanatensis,facit co2omparatiuu2um ne¢quior et suþperlatiuu2um nequissimus,ab,aduerbiis in ra desinentib;bus fiunt co2omparatiua,w23655
ab,casanatensis,ulterior ultimus positiuu2um n¯non hab¯abet ¢quia,ab,ultra aduerbio ul¯uel præpositione deriuari uidetur,w25134
ab,casanatensis,unde aduerbiu2um nuþperrime ¢qui uidetur nasci,ab,aduerbio in er desinente ¢quia nomen,w26322
ab,casanatensis,"supremus postremusThere is a macron sign over the ""e"" (""postrēmus"") to mark the vowel's long quantity. infimusThere is a breve (˘) mark over the second ""i"" to mark its short quantity. suþperlatiua n¯non ueniunt",ab,"exteroDuring my review of the lemmatization, I'll mark that this is the ablative singular of exter, extera, exterum (lemma ""exter"" in Perseus' Lewis-Short: http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dexter). supero posteroDuring my review of the lemmatization, I'll mark that this is the ablative singular of poster, postera, posterum (lemma ""poster"" in Perseus' Lewis-Short: http://www.perseus.tufts.edu). infero positiuis sed",w26730
ab,casanatensis,"exteroDuring my review of the lemmatization, I'll mark that this is the ablative singular of exter, extera, exterum (lemma ""exter"" in Perseus' Lewis-Short: http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dexter). supero posteroDuring my review of the lemmatization, I'll mark that this is the ablative singular of poster, postera, posterum (lemma ""poster"" in Perseus' Lewis-Short: http://www.perseus.tufts.edu). infero positiuis sed",ab,aduerbiis extra supra post infra si,w26751
ab,casanatensis,anomalu2um pessimus nouissimus a nouo uidetur,ab,ante anterior suþperlatiuu2um n¯non est a,w26913
ab,casanatensis,ut antoniaster patriciolus sergiolus pleraq;que diminutiua,ab,appellatiuis deriuantur pauca a ŋpropriis et,w27975
ab,casanatensis,ut fluctus flucticulus cornu corniculu2um excipitur,ab,acu aculeus nomina desinentia in ix,w29034
ab,casanatensis,habitat denominatiua dicta sunt eo quod,ab,aliqua speciali significatione nominis sic nominata,w31281
ab,casanatensis,fiunt denominatiua st¯sunt quæ nominatiuum acceperunt,ab,aliis tantu2um na2am n¯non significant illud,w31410
urso,casanatensis,"artis grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex diuersis doctoribus ab",urso,composita dictio minima pars est constructe,w24
composita,casanatensis,"grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex diuersis doctoribus ab urso",composita,dictio minima pars est constructe orationis,w27
composita,casanatensis,pars elinientoru2um oratio ex duob;bus corruptis,composita,est ab ore et ratione idcirco,w921
dictio,casanatensis,ex diuersis doctoribus ab urso composita,dictio,minima pars est constructe orationis constructe,w30
dictio,casanatensis,þpertinet ad sensu8um totius intellectus differt,dictio,a syllaba qm¯quoniam syllaba pars dictionis,w102
dictio,casanatensis,syllaba pars dictionis est et ¢quia,dictio,a dicendo hoc est intellegendo dicta,w132
dictio,casanatensis,nu8umqua8am þper se significat ali¢quid monosyllabæ,dictio,id est unius syllabæ dictio potest,w195
dictio,casanatensis,monosyllabæ dictio id est unius syllabæ,dictio,potest dici syllaba sed n¯non sincere,w210
dictio,casanatensis,dicitur etia2am liber rhetoricus et una,dictio,"quæ sign2nificat plenu2um sensu8um oratio dicitu2urThe graphemes around ""dicitur"" are very hard to read. Another reading might be ""oratio dici t(um) [two unclear graphemes] possunt uerba imperatiua et responsiua"". In this case, the ""u with r rotunda above"" abbreviation should be expanded in ""um"", not ""ur"", which is unlikely. Also, the ""p"" and ""o"" of hypothetical ""possunt"" are very hardly recognizable. The reading that I am publishing (""oratio dicitur [...] sunt uerba imperatiua et responsiua"") is more likely based on the manuscript.",w513
dictio,casanatensis,a membro si coniunctione7em artuum efficiant¯tur,dictio,cu2um effectus plena quæ oratio dici,w609
minima,casanatensis,diuersis doctoribus ab urso composita dictio,minima,pars est constructe orationis constructe id,w33
minima,casanatensis,constructe id est composite in ordine2em,minima,pars est quantu8um þpertinet ad sensu8um,w69
minima,casanatensis,maior pars cælu2um et terra est,minima,pars quarta pars elinientoru2um oratio ex,w897
minima,casanatensis,definitio substantie ut littera est pars,minima,uocis articulatæ et pes est syllabaru2um,w3060
pars,casanatensis,doctoribus ab urso composita dictio minima,pars,est constructe orationis constructe id est,w36
pars,casanatensis,id est composite in ordine2em minima,pars,est quantu8um þpertinet ad sensu8um totius,w72
pars,casanatensis,differt dictio a syllaba qm¯quoniam syllaba,pars,dictionis est et ¢quia dictio a,w117
pars,casanatensis,dicunt¯tur dicuntur partes orationis ¢quia omnis,pars,plenitudine2em suam appetit et omnis plenitudo,w804
pars,casanatensis,omnino tres st¯sunt est eni2im aco2omparabilis,pars,que est in citas est maior,w885
pars,casanatensis,que est in citas est maior,pars,cælu2um et terra est minima pars,w892
pars,casanatensis,pars cælu2um et terra est minima,pars,quarta pars elinientoru2um oratio ex duob;bus,w900
pars,casanatensis,et terra est minima pars quarta,pars,elinientoru2um oratio ex duob;bus corruptis composita,w903
pars,casanatensis,appellatione et in uocabulo ideo una,pars,dici debet ŋpropriu2um est uerbi significare,w1857
pars,casanatensis,in infinitis idcirco et una est,pars,participiu2um recte separatur a uerbo ¢quia,w1938
pars,casanatensis,esse definitio substantie ut littera est,pars,minima uocis articulatæ et pes est,w3057
pars,casanatensis,temporum certa dinumeratio et uerbu2um est,pars,orationis cu2um tempore et þpersona et,w3102
pars,casanatensis,tempore et þpersona et nomen est,pars,orationis cu2um casu corpus aut rem,w3129
pars,casanatensis,¢quinq;que modi c¯continentur dicendo nomen est,pars,orationis ostenditur ee¯esse una ex octo,w3189
pars,casanatensis,sex sextus ï nomen est tota,pars,integra in litteris ut lucius ï,w3924
pars,casanatensis,et sicut þper notas intellegitur integra,pars,ita et þper nomen integras creaturas,w3960
pars,casanatensis,spiritales ul¯uel corporales ï nomen est,pars,orationis quæ unicui q;que subiectorum corporu2um seu,w3996
pars,casanatensis,supradictæ formæ tamen ¢quia maxima eoru2um,pars,possessiuoru2um demonstratione2em hab¯abet apud latinos ideo,w19800
pars,casanatensis,rete reticulus fons fonticulus lens lenticula,pars,particula omnia huiuscemodi diminutiua corripiunt ta2am,w28827
pars,casanatensis,fiunt a nominibus ul¯uel uerbis conuersa,pars,ultima in stus antecedente e ul¯uel,w41250
est,casanatensis,ab urso composita dictio minima pars,est,constructe orationis constructe id est composite,w42
est,casanatensis,pars est constructe orationis constructe id,est,composite in ordine2em minima pars est,w57
est,casanatensis,est composite in ordine2em minima pars,est,quantu8um þpertinet ad sensu8um totius intellectus,w75
est,casanatensis,a syllaba qm¯quoniam syllaba pars dictionis,est,et ¢quia dictio a dicendo hoc,w123
est,casanatensis,et ¢quia dictio a dicendo hoc,est,intellegendo dicta est þper se eni2im,w144
est,casanatensis,a dicendo hoc est intellegendo dicta,est,þper se eni2im significat ali¢quid syllaba,w153
est,casanatensis,se significat ali¢quid monosyllabæ dictio id,est,unius syllabæ dictio potest dici syllaba,w201
est,casanatensis,acuitur et habet aspiratione8em quando p¯prepositio,est,ŋproducitur et grauatur et e¯est sine,w396
est,casanatensis,nisi fuerit in dictione examussi7im id,est,clare ul¯uel diligent¯ter ter oratio est,w453
est,casanatensis,est clare ul¯uel diligent¯ter ter oratio,est,congrua ordinatio dictionu2um demonstrans þperfecta8am sententia8am,w471
est,casanatensis,potest artis eni2im concludunt ars uero,est,apprehensio p¯preceptoru2um acco2ommodata ad ¢quid eni2im,w633
est,casanatensis,apprehensio p¯preceptoru2um acco2ommodata ad ¢quid eni2im,est,qua2am in sex casibus et tribus,w645
est,casanatensis,uel a potes et petes id,est,qua2am græci uocant scientia2am unius cuiusq;que rei,w676
est,casanatensis,qm¯quoniam ŋproprius locus artis in mente,est,cu2um uero scribitur n¯non est sed,w714
est,casanatensis,mente est cu2um uero scribitur n¯non,est,sed species dici potest hoc etia2am,w724
est,casanatensis,plenitudo adimpletur a partib;bus suis rtire,est,cu2um aliquid intellectu et ratione segregatur,w837
est,casanatensis,et ratione segregatur ab aliqųquo diuidere,est,diuiditur et traditio unicuiq;que qd¯quod partes,w861
est,casanatensis,unicuiq;que qd¯quod partes omnino tres st¯sunt,est,eni2im aco2omparabilis pars que est in,w880
est,casanatensis,st¯sunt est eni2im aco2omparabilis pars que,est,in citas est maior pars cælu2um,w887
est,casanatensis,aco2omparabilis pars que est in citas,est,maior pars cælu2um et terra est,w890
est,casanatensis,est maior pars cælu2um et terra,est,minima pars quarta pars elinientoru2um oratio,w896
est,casanatensis,elinientoru2um oratio ex duob;bus corruptis composita,est,ab ore et ratione idcirco n¯non,w924
est,casanatensis,sine ratione procedit ab ore oratio,est,cu2um rationabiliter aliquid loquimur ul¯uel si,w960
est,casanatensis,partes origine2em trahunt unde suncategorema id,est,c¯consignificantia appellantur pronomen ex nomine origine2em,w1110
est,casanatensis,et uerbo nascitur unde et nominatu2um,est,"participiu2um quasi particeps utra2amq;queThere is no visible ""2-shaped"" abbreviation mark over the ""a"". In fact, the latter looks more like an ""o"" than as an ""a"". However, the word is hardly readable, so the abbreviation mark might have faded out. partem capiat",w1242
est,casanatensis,illi ŋprotesis illi arthron articulu2um dicunt,est,et interiectio qua2am illi dicunt non,w1755
est,casanatensis,nisi adtendamus ŋproprietates uniuscuiusq;que partis ŋpropriu2um,est,nominis significare substantia2am et qualitatem hoc,w1809
est,casanatensis,ideo una pars dici debet ŋpropriu2um,est,uerbi significare actionem uel passione2em uel,w1869
est,casanatensis,et in infinitis idcirco et una,est,pars participiu2um recte separatur a uerbo,w1935
est,casanatensis,caret modis quos continet uerbu2um ŋpropriu2um,est,ŋpronominu2um poni ŋpro proprio nomine et,w2007
est,casanatensis,eis aliqua declinantur sicut ŋpronomina n¯non,est,adtendenda eoru2um declinatio ¢quia multa ŋpronomina,w2199
