position,doc,lang,form,lemma,anchor
129,casanatensis,,p¯prepositio,,w393
130,casanatensis,,est,,w396
131,casanatensis,,ŋproducitur,,w399
132,casanatensis,,et,,w402
133,casanatensis,,grauatur,,w405
134,casanatensis,,et,,w408
135,casanatensis,,e¯est,,w411
136,casanatensis,,sine,,w414
137,casanatensis,,aspiratione,,w417
138,casanatensis,,syllaba,,w420
139,casanatensis,,n¯non,,w423
140,casanatensis,,potest,,w426
141,casanatensis,,examussim,,w429
142,casanatensis,,intellegi,,w432
143,casanatensis,,nisi,,w435
144,casanatensis,,fuerit,,w438
145,casanatensis,,in,,w441
146,casanatensis,,dictione,,w444
147,casanatensis,,examussi7im,,w447
148,casanatensis,,id,,w450
149,casanatensis,,est,,w453
150,casanatensis,,clare,,w456
151,casanatensis,,ul¯uel,,w459
152,casanatensis,,diligent¯ter,,w465
153,casanatensis,,ter,,w462
154,casanatensis,,oratio,,w468
155,casanatensis,,est,,w471
156,casanatensis,,congrua,,w474
157,casanatensis,,ordinatio,,w477
158,casanatensis,,dictionu2um,,w480
159,casanatensis,,demonstrans,,w483
160,casanatensis,,þperfecta8am,,w486
161,casanatensis,,sententia8am,,w489
162,casanatensis,,oratio,,w492
163,casanatensis,,dicitur,,w495
164,casanatensis,,etia2am,,w498
165,casanatensis,,liber,,w501
166,casanatensis,,rhetoricus,,w504
167,casanatensis,,et,,w507
168,casanatensis,,una,,w510
169,casanatensis,,dictio,,w513
170,casanatensis,,quæ,,w516
171,casanatensis,,sign2nificat,,w519
172,casanatensis,,plenu2um,,w522
173,casanatensis,,sensu8um,,w525
174,casanatensis,,oratio,,w528
175,casanatensis,,"dicitu2urThe graphemes around ""dicitur"" are very hard to read. Another reading might be ""oratio dici t(um) [two unclear graphemes] possunt uerba imperatiua et responsiua"". In this case, the ""u with r rotunda above"" abbreviation should be expanded in ""um"", not ""ur"", which is unlikely. Also, the ""p"" and ""o"" of hypothetical ""possunt"" are very hardly recognizable. The reading that I am publishing (""oratio dicitur [...] sunt uerba imperatiua et responsiua"") is more likely based on the manuscript.",,w531
176,casanatensis,,st¯sunt,,w533
177,casanatensis,,uerba,,w534
178,casanatensis,,imþperatiua,,w537
179,casanatensis,,et,,w540
180,casanatensis,,respo¯onsiua,,w543
181,casanatensis,,imperatiua,,w546
182,casanatensis,,ut,,w549
183,casanatensis,,"legeIt seems that something similar to ""ut lege"" was written in the same line, then was erased and a new ""ut lege"" was written in its place. Also, there is a faded sign over the initial ""u"". This sign looks like the abbreviation that I am encoding with Unicode character ""8"" and occurs again later in the same line (above the next ""ut"", i.e. the word with id w558).",,w552
184,casanatensis,,responsiua,,w555
185,casanatensis,,"utThere is a faded sign over the initial ""u"". This sign looks like the abbreviation that I am encoding with Unicode character ""8"" and already occurred earlier in the same line (above the previous ""ut"", i.e. the word with id w552).",,w558
186,casanatensis,,si,,w561
187,casanatensis,,dica2am,,w564
188,casanatensis,,¢quid,,w567
189,casanatensis,,"estThe ink is faded here, however it is possible to see a sign above the ""e"". It might mark the fact that the sentence is interrogative.",,w570
190,casanatensis,,su7ummu7um,,w573
191,casanatensis,,bonu7um,,w576
192,casanatensis,,in,,w577
193,casanatensis,,uita,,w578
194,casanatensis,,respondeatur,,w579
195,casanatensis,,honestas,,w582
196,casanatensis,,ars,,w585
197,casanatensis,,dicunt,,w586
198,casanatensis,,abarere,,w588
199,casanatensis,,idest,,w591
200,casanatensis,,a,,w594
201,casanatensis,,membro,,w597
202,casanatensis,,si,,w599
203,casanatensis,,coniunctione7em,,w600
204,casanatensis,,artuum,,w603
205,casanatensis,,efficiant¯tur,,w606
206,casanatensis,,dictio,,w609
207,casanatensis,,cu2um,,w610
208,casanatensis,,effectus,,w611
209,casanatensis,,plena,,w612
210,casanatensis,,quæ,,w615
211,casanatensis,,oratio,,w618
212,casanatensis,,dici,,w621
213,casanatensis,,potest,,w624
214,casanatensis,,artis,,w625
215,casanatensis,,eni2im,,w626
216,casanatensis,,concludunt,,w628
217,casanatensis,,ars,,w631
218,casanatensis,,uero,,w632
219,casanatensis,,est,,w633
220,casanatensis,,apprehensio,,w634
221,casanatensis,,p¯preceptoru2um,,w635
222,casanatensis,,acco2ommodata,,w636
223,casanatensis,,ad,,w637
224,casanatensis,,¢quid,,w641
225,casanatensis,,eni2im,,w642
226,casanatensis,,est,,w645
227,casanatensis,,qua2am,,w647
228,casanatensis,,in,,w648
229,casanatensis,,sex,,w649
230,casanatensis,,casibus,,w650
231,casanatensis,,et,,w651
232,casanatensis,,tribus,,w652
233,casanatensis,,coniugationibus,,w653
234,casanatensis,,c¯consistit,,w654
235,casanatensis,,cuncta,,w655
236,casanatensis,,latinitas,,w656
237,casanatensis,,ł,,casanatensis:0.1.0.4.0.81
238,casanatensis,,etiam,,w657
239,casanatensis,,ti,,w658
240,casanatensis,,idcirco,,w659
241,casanatensis,,nominari,,w660
242,casanatensis,,dicitur,,w661
243,casanatensis,,ars,,w662
244,casanatensis,,¢quia,,w663
245,casanatensis,,tribus,,w664
246,casanatensis,,articulis,,w665
247,casanatensis,,cuncta,,w666
248,casanatensis,,latinitas,,w667
249,casanatensis,,potest,,w668
250,casanatensis,,scribi,,w669
251,casanatensis,,uel,,w670
252,casanatensis,,a,,w671
253,casanatensis,,potes,,w672
254,casanatensis,,et,,w673
255,casanatensis,,petes,,w674
256,casanatensis,,id,,w675
257,casanatensis,,est,,w676
258,casanatensis,,qua2am,,w677
259,casanatensis,,græci,,w678
260,casanatensis,,uocant,,w679
261,casanatensis,,scientia2am,,w680
262,casanatensis,,unius cuiusq;que,,w681
263,casanatensis,,rei,,w682
264,casanatensis,,du2um,,w683
265,casanatensis,,au¯autem,,w685
266,casanatensis,,cogitatur,,w687
267,casanatensis,,erit,,w690
268,casanatensis,,ars,,w693
269,casanatensis,,qm¯quoniam,,w696
270,casanatensis,,ŋproprius,,w699
271,casanatensis,,locus,,w702
272,casanatensis,,artis,,w705
273,casanatensis,,in,,w708
274,casanatensis,,mente,,w711
275,casanatensis,,est,,w714
276,casanatensis,,cu2um,,w717
277,casanatensis,,uero,,w720
278,casanatensis,,scribitur,,w721
279,casanatensis,,n¯non,,w723
280,casanatensis,,est,,w724
281,casanatensis,,sed,,w726
282,casanatensis,,species,,w727
283,casanatensis,,dici,,w729
284,casanatensis,,potest,,w732
285,casanatensis,,hoc,,w735
286,casanatensis,,etia2am,,w738
287,casanatensis,,et,,w739
288,casanatensis,,in,,w740
289,casanatensis,,aliis,,w741
290,casanatensis,,diuersis,,w742
291,casanatensis,,operibus,,w743
292,casanatensis,,fit,,w744
293,casanatensis,,partes,,w747
294,casanatensis,,orationis,,w750
295,casanatensis,,secundu2um,,w753
296,casanatensis,,donatu2um,,w756
297,casanatensis,,rectius,,w758
298,casanatensis,,octo,,w759
299,casanatensis,,sunt,,w762
300,casanatensis,,secundum,,w765
301,casanatensis,,plerosq;que,,w768
302,casanatensis,,alios,,w771
303,casanatensis,,et,,w774
304,casanatensis,,plures,,w777
305,casanatensis,,et,,w780
306,casanatensis,,pauciores,,w783
307,casanatensis,,dicunt¯tur,,w786
308,casanatensis,,dicuntur,,w789
309,casanatensis,,partes,,w792
310,casanatensis,,orationis,,w795
311,casanatensis,,¢quia,,w798
312,casanatensis,,omnis,,w801
313,casanatensis,,pars,,w804
314,casanatensis,,plenitudine2em,,w807
315,casanatensis,,suam,,w810
316,casanatensis,,appetit,,w813
317,casanatensis,,et,,w816
318,casanatensis,,omnis,,w819
319,casanatensis,,plenitudo,,w822
320,casanatensis,,adimpletur,,w825
321,casanatensis,,a,,w828
322,casanatensis,,partib;bus,,w831
323,casanatensis,,suis,,w834
324,casanatensis,,rtire,,w835
325,casanatensis,,est,,w837
326,casanatensis,,cu2um,,w840
327,casanatensis,,aliquid,,w843
328,casanatensis,,intellectu,,w846
329,casanatensis,,et,,w849
330,casanatensis,,ratione,,w852
331,casanatensis,,segregatur,,w855
332,casanatensis,,ab,,w858
333,casanatensis,,aliqųquo,,w859
334,casanatensis,,diuidere,,w860
335,casanatensis,,est,,w861
336,casanatensis,,diuiditur,,w862
337,casanatensis,,et,,w864
338,casanatensis,,traditio,,w865
339,casanatensis,,unicuiq;que,,w867
340,casanatensis,,qd¯quod,,w868
341,casanatensis,,partes,,w870
342,casanatensis,,omnino,,w873
343,casanatensis,,tres,,w876
344,casanatensis,,st¯sunt,,w879
345,casanatensis,,est,,w880
346,casanatensis,,eni2im,,w881
347,casanatensis,,aco2omparabilis,,w884
348,casanatensis,,pars,,w885
349,casanatensis,,que,,w886
350,casanatensis,,est,,w887
351,casanatensis,,in,,w888
352,casanatensis,,citas,,w889
353,casanatensis,,est,,w890
354,casanatensis,,maior,,w891
355,casanatensis,,pars,,w892
356,casanatensis,,cælu2um,,w893
357,casanatensis,,et,,w894
358,casanatensis,,terra,,w895
359,casanatensis,,est,,w896
360,casanatensis,,minima,,w897
361,casanatensis,,pars,,w900
362,casanatensis,,quarta,,w902
363,casanatensis,,pars,,w903
364,casanatensis,,elinientoru2um,,w906
365,casanatensis,,oratio,,w909
366,casanatensis,,ex,,w912
367,casanatensis,,duob;bus,,w915
368,casanatensis,,corruptis,,w918
369,casanatensis,,composita,,w921
370,casanatensis,,est,,w924
371,casanatensis,,ab,,w925
372,casanatensis,,ore,,w926
373,casanatensis,,et,,w927
374,casanatensis,,ratione,,w930
375,casanatensis,,idcirco,,w933
376,casanatensis,,n¯non,,w934
377,casanatensis,,potest,,w935
378,casanatensis,,dici,,w936
379,casanatensis,,oratio,,w937
380,casanatensis,,hoc,,w939
381,casanatensis,,qd¯uod,,w942
382,casanatensis,,sine,,w945
383,casanatensis,,ratione,,w948
384,casanatensis,,procedit,,w951
385,casanatensis,,ab,,w953
386,casanatensis,,ore,,w954
387,casanatensis,,oratio,,w957
388,casanatensis,,est,,w960
389,casanatensis,,cu2um,,w963
390,casanatensis,,rationabiliter,,w967
391,casanatensis,,aliquid,,w969
392,casanatensis,,loquimur,,w972
393,casanatensis,,ul¯uel,,w975
394,casanatensis,,si,,w978
395,casanatensis,,ŋpro,,w981
396,casanatensis,,peccatis,,w984
397,casanatensis,,et,,w985
398,casanatensis,,uita,,w986
399,casanatensis,,imp¯precamur,,w987
400,casanatensis,,partes,,w990
401,casanatensis,,orationis,,w993
402,casanatensis,,secundum,,w996
403,casanatensis,,aristotelem,,w999
404,casanatensis,,et,,w1002
405,casanatensis,,ceteros,,w1005
406,casanatensis,,dialecticos,,w1008
407,casanatensis,,duæ,,w1011
408,casanatensis,,st¯sunt,,w1014
409,casanatensis,,nomen,,w1017
410,casanatensis,,et,,w1020
411,casanatensis,,uerbum,,w1023
412,casanatensis,,quia,,w1026
413,casanatensis,,solæ,,w1029
414,casanatensis,,hæ,,w1032
415,casanatensis,,coniunctæ,,w1035
416,casanatensis,,faciunt,,w1038
417,casanatensis,,plena2am,,w1041
418,casanatensis,,sententia2am,,w1044
419,casanatensis,,et,,w1047
420,casanatensis,,in,,w1050
421,casanatensis,,his,,w1053
422,casanatensis,,consistit,,w1054
423,casanatensis,,tota,,w1055
424,casanatensis,,latinitas,,w1056
425,casanatensis,,quæ,,w1057
426,casanatensis,,significant,,w1059
427,casanatensis,,þpersona2am,,w1062
428,casanatensis,,et,,w1065
429,casanatensis,,actu2um,,w1068
430,casanatensis,,þper,,w1071
431,casanatensis,,nomen,,w1074
432,casanatensis,,eni2im,,w1075
433,casanatensis,,þpersona,,w1076
434,casanatensis,,et,,w1077
435,casanatensis,,þper,,w1080
436,casanatensis,,uerbu2um,,w1083
437,casanatensis,,actus,,w1086
438,casanatensis,,þpersonæ,,w1089
439,casanatensis,,ostenditur,,w1092
440,casanatensis,,et,,w1095
441,casanatensis,,ab,,w1098
442,casanatensis,,his,,w1101
443,casanatensis,,ceteræ,,w1102
444,casanatensis,,partes,,w1103
445,casanatensis,,origine2em,,w1104
446,casanatensis,,trahunt,,w1105
447,casanatensis,,unde,,w1106
448,casanatensis,grc,suncategorema,,w1107
449,casanatensis,,id,,w1108
450,casanatensis,,est,,w1110
451,casanatensis,,c¯consignificantia,,w1113
452,casanatensis,,appellantur,,w1116
453,casanatensis,,pronomen,,w1119
454,casanatensis,,ex,,w1122
455,casanatensis,,nomine,,w1125
456,casanatensis,,origine2em,,w1128
457,casanatensis,,trahit,,w1131
458,casanatensis,,¢quia,,w1134
459,casanatensis,,ŋpronomen,,w1137
460,casanatensis,,n¯non,,w1140
461,casanatensis,,potest,,w1143
462,casanatensis,,poni,,w1146
463,casanatensis,,nisi,,w1147
464,casanatensis,,nomen,,w1149
465,casanatensis,,p¯precedat,,w1152
466,casanatensis,,cuius,,w1155
467,casanatensis,,fungatur,,w1158
468,casanatensis,,officio,,w1161
469,casanatensis,,aduerbiu2um,,w1164
470,casanatensis,,a,,w1167
471,casanatensis,,uerbo,,w1170
472,casanatensis,,segregari,,w1173
473,casanatensis,,n¯non,,w1176
474,casanatensis,,potest,,w1179
475,casanatensis,,cuius,,w1182
476,casanatensis,,significatione2em,,w1185
477,casanatensis,,explanat,,w1188
478,casanatensis,,atq;que,,w1191
479,casanatensis,,implet,,w1194
480,casanatensis,,et,,w1197
481,casanatensis,,"aduerbiu2umThe word is almost completely illegible, but it seems that the last grapheme is a ""a"", above which a ""u"" was written, so probably the original version was ""aduerbia"", and a second hand corrected it to ""aduerbium"" to make it agree with the verb.",,w1198
482,casanatensis,,a,,w1200
483,casanatensis,,nomine,,w1203
484,casanatensis,,nascitur,,w1204
485,casanatensis,,ut,,w1206
486,casanatensis,,doctus,,w1209
487,casanatensis,,docte,,w1212
488,casanatensis,,participiu2um,,w1215
489,casanatensis,,ex,,w1218
490,casanatensis,,nomine,,w1221
491,casanatensis,,et,,w1224
492,casanatensis,,uerbo,,w1227
493,casanatensis,,nascitur,,w1230
494,casanatensis,,unde,,w1233
495,casanatensis,,et,,w1236
496,casanatensis,,nominatu2um,,w1239
497,casanatensis,,est,,w1242
498,casanatensis,,participiu2um,,w1245
499,casanatensis,,quasi,,w1248
500,casanatensis,,particeps,,w1251
501,casanatensis,,"utra2amq;queThere is no visible ""2-shaped"" abbreviation mark over the ""a"". In fact, the latter looks more like an ""o"" than as an ""a"". However, the word is hardly readable, so the abbreviation mark might have faded out.",,w1254
502,casanatensis,,partem,,w1257
503,casanatensis,,capiat,,w1260
504,casanatensis,,ł,,casanatensis:0.1.0.5.6.46
505,casanatensis,,coniunctio,,w1263
506,casanatensis,,et,,w1264
507,casanatensis,,p¯prepositio,,w1266
508,casanatensis,,in,,w1269
509,casanatensis,,con,,w1270
510,casanatensis,,nominis,,w1272
511,casanatensis,,et,,w1275
512,casanatensis,,uerbi,,w1278
513,casanatensis,,accipiuntur,,w1281
514,casanatensis,,secundu2um,,w1284
515,casanatensis,,stoicos,,w1287
516,casanatensis,,¢quinq;que,,w1290
517,casanatensis,,sunt,,w1293
518,casanatensis,,partes,,w1296
519,casanatensis,,orationis,,w1299
520,casanatensis,,nomen,,w1302
521,casanatensis,,appellatio,,w1305
522,casanatensis,,uerbu2um,,w1308
523,casanatensis,,ŋpronomen,,w1311
524,casanatensis,,siue,,w1314
525,casanatensis,,articulus,,w1317
526,casanatensis,,coniunctio,,w1320
527,casanatensis,,interiectio,,w1323
528,casanatensis,,hi,,w1326
529,casanatensis,,participiu2um,,w1329
530,casanatensis,,uerbo,,w1332
531,casanatensis,,iungentes,,w1335
532,casanatensis,,participiale,,w1338
533,casanatensis,,uel,,w1341
534,casanatensis,,casuale,,w1344
535,casanatensis,,uerbu2um,,w1347
536,casanatensis,,dicebant,,w1350
537,casanatensis,,et,,w1353
538,casanatensis,,aduerbia,,w1356
539,casanatensis,,adiungebant,,w1359
540,casanatensis,,nominibus,,w1362
541,casanatensis,,uel,,w1365
542,casanatensis,,uerbis,,w1368
543,casanatensis,,nominantes,,w1371
544,casanatensis,,ea,,w1374
545,casanatensis,,adiectiua,,w1377
546,casanatensis,,eoru2um,,w1380
547,casanatensis,,adnumerabant,,w1383
548,casanatensis,,pronomina,,w1386
549,casanatensis,,articulis,,w1389
550,casanatensis,,nominantes,,w1392
551,casanatensis,,ea,,w1395
552,casanatensis,,finitos,,w1398
553,casanatensis,,articulos,,w1401
554,casanatensis,,ipsos,,w1404
555,casanatensis,,articulos,,w1407
556,casanatensis,,¢quibus,,w1410
557,casanatensis,,nos,,w1413
558,casanatensis,,caremus,,w1416
559,casanatensis,,dicebant,,w1419
560,casanatensis,,infinitos,,w1422
561,casanatensis,,articulos,,w1425
562,casanatensis,,alii,,w1428
563,casanatensis,,ex,,w1431
564,casanatensis,,eis,,w1434
565,casanatensis,,connumerabant,,w1437
566,casanatensis,,articulos,,w1440
567,casanatensis,,ŋpronominibus,,w1443
568,casanatensis,,et,,w1446
569,casanatensis,,articularia,,w1449
570,casanatensis,,ŋpronomina,,w1452
571,casanatensis,,hæc,,w1455
572,casanatensis,,dicebant,,w1458
573,casanatensis,,quos,,w1461
574,casanatensis,,nos,,w1464
575,casanatensis,,sequimur,,w1467
576,casanatensis,,qua2amqua2am,,w1470
577,casanatensis,,in,,w1473
578,casanatensis,,latinitate,,w1476
579,casanatensis,,n¯non,,w1479
580,casanatensis,,inueniantur,,w1482
581,casanatensis,,integri,,w1485
582,casanatensis,,articuli,,w1488
583,casanatensis,,præpositiones,,w1491
584,casanatensis,,copulabant,,w1494
585,casanatensis,,c¯coniunctioni,,w1497
586,casanatensis,,quas,,w1500
587,casanatensis,,uocant,,w1503
588,casanatensis,,c¯coniunctiones,,w1506
589,casanatensis,,p¯prepositiuas,,w1509
590,casanatensis,,quida2am,,w1512
591,casanatensis,,dixerunt,,w1515
592,casanatensis,,nouem,,w1518
593,casanatensis,,esse,,w1521
594,casanatensis,,partes,,w1524
595,casanatensis,,orationis,,w1527
596,casanatensis,,separantes,,w1530
597,casanatensis,,appellatione2em,,w1533
598,casanatensis,,a,,w1536
599,casanatensis,,nomine,,w1539
600,casanatensis,,alii,,w1542
601,casanatensis,,duodecim,,w1545
602,casanatensis,,ponentes,,w1548
603,casanatensis,,uocabulu2um,,w1551
604,casanatensis,,ŋpro,,w1554
605,casanatensis,,parte,,w1557
606,casanatensis,,ł,,casanatensis:0.1.0.5.8.46
607,casanatensis,,græci,,w1560
608,casanatensis,,et,,w1563
609,casanatensis,,latini,,w1566
610,casanatensis,,pari,,w1569
611,casanatensis,,modo,,w1572
612,casanatensis,,octo,,w1575
613,casanatensis,,partes,,w1578
614,casanatensis,,orationis,,w1581
615,casanatensis,,habent,,w1584
616,casanatensis,,sed,,w1587
617,casanatensis,,in,,w1590
618,casanatensis,,hoc,,w1593
619,casanatensis,,discrepant,,w1594
620,casanatensis,,quia,,w1596
621,casanatensis,,non,,w1597
622,casanatensis,,articulu2um,,w1599
623,casanatensis,,ŋpro,,w1602
624,casanatensis,,parte,,w1605
625,casanatensis,,ponunt,,w1608
626,casanatensis,,latini,,w1611
627,casanatensis,,hoc,,w1614
628,casanatensis,,pronominib;bus,,w1617
629,casanatensis,,iungunt,,w1620
630,casanatensis,,et,,w1623
631,casanatensis,,greci,,w1626
632,casanatensis,,interiectione2em,,w1629
633,casanatensis,,aduerbio,,w1632
634,casanatensis,,iungunt,,w1635
635,casanatensis,,qua2am,,w1638
636,casanatensis,,latini,,w1641
637,casanatensis,,ŋpro,,w1644
638,casanatensis,,parte,,w1647
639,casanatensis,,ponunt,,w1650
640,casanatensis,,partes,,w1653
641,casanatensis,,nomen,,w1656
642,casanatensis,,quod,,w1659
643,casanatensis,,greci,,w1662
644,casanatensis,grc,onoma,,w1665
645,casanatensis,,dicunt,,w1668
646,casanatensis,,ŋpronom¯men,,w1671
647,casanatensis,,quod,,w1674
648,casanatensis,,illi,,w1677
649,casanatensis,grc,antonoma,,w1680
650,casanatensis,,uerbu2um,,w1683
651,casanatensis,,quod,,w1686
652,casanatensis,,illi,,w1689
653,casanatensis,grc,rema,,w1692
654,casanatensis,,aduerbiu2um,,w1695
655,casanatensis,,qųquod,,w1698
656,casanatensis,,illi,,w1701
657,casanatensis,grc,epirrema,,w1704
658,casanatensis,,participiu2um,,w1707
659,casanatensis,,quod,,w1710
660,casanatensis,,illi,,w1713
661,casanatensis,grc,metoche,,w1716
662,casanatensis,,coniunctio,,w1719
663,casanatensis,,qua2am,,w1722
664,casanatensis,,illi,,w1725
665,casanatensis,grc,sindesmos,,w1728
666,casanatensis,,propositio,,w1731
667,casanatensis,,qua2am,,w1734
668,casanatensis,,illi,,w1737
669,casanatensis,grc,ŋprotesis,,w1740
670,casanatensis,,illi,,w1743
671,casanatensis,grc,arthron,,w1747
672,casanatensis,,articulu2um,,w1749
673,casanatensis,,dicunt,,w1752
674,casanatensis,,est,,w1755
675,casanatensis,,et,,w1758
676,casanatensis,,interiectio,,w1761
677,casanatensis,,qua2am,,w1764
678,casanatensis,,illi,,w1767
679,casanatensis,,dicunt,,w1770
680,casanatensis,,non,,w1773
681,casanatensis,,possunt,,w1776
682,casanatensis,,partes,,w1779
683,casanatensis,,discerni,,w1782
684,casanatensis,,a,,w1785
685,casanatensis,,se,,w1788
686,casanatensis,,nisi,,w1791
687,casanatensis,,adtendamus,,w1794
688,casanatensis,,ŋproprietates,,w1797
689,casanatensis,,uniuscuiusq;que,,w1800
690,casanatensis,,partis,,w1803
691,casanatensis,,ŋpropriu2um,,w1806
692,casanatensis,,est,,w1809
693,casanatensis,,nominis,,w1812
694,casanatensis,,significare,,w1815
695,casanatensis,,substantia2am,,w1818
696,casanatensis,,et,,w1821
697,casanatensis,,qualitatem,,w1824
698,casanatensis,,hoc,,w1827
699,casanatensis,,fit,,w1830
700,casanatensis,,et,,w1833
701,casanatensis,,in,,w1836
702,casanatensis,,appellatione,,w1839
703,casanatensis,,et,,w1842
704,casanatensis,,in,,w1845
705,casanatensis,,uocabulo,,w1848
706,casanatensis,,ideo,,w1851
707,casanatensis,,una,,w1854
708,casanatensis,,pars,,w1857
709,casanatensis,,dici,,w1860
710,casanatensis,,debet,,w1863
711,casanatensis,,ŋpropriu2um,,w1866
712,casanatensis,,est,,w1869
713,casanatensis,,uerbi,,w1872
714,casanatensis,,significare,,w1875
715,casanatensis,,actionem,,w1878
716,casanatensis,,uel,,w1881
717,casanatensis,,passione2em,,w1884
718,casanatensis,,uel,,w1887
719,casanatensis,,utru2umq;que,,w1890
720,casanatensis,,cum,,w1893
721,casanatensis,,modis,,w1896
722,casanatensis,,et,,w1899
723,casanatensis,,formis,,w1902
724,casanatensis,,sine,,w1905
725,casanatensis,,casu,,w1908
726,casanatensis,,hoc,,w1911
727,casanatensis,,fit,,w1914
728,casanatensis,,et,,w1917
729,casanatensis,,in,,w1920
730,casanatensis,,infinitis,,w1923
731,casanatensis,,idcirco,,w1926
732,casanatensis,,et,,w1929
733,casanatensis,,una,,w1932
734,casanatensis,,est,,w1935
735,casanatensis,,pars,,w1938
736,casanatensis,,participiu2um,,w1941
